Asia | China | 1,350 million people
Asia | India | 1,210 million people
NA | United States | 309 million people
Asia | Indonesia | 233 million people
SA | Brazil | 195 million people
Asia | Pakistan | 185 million people
Asia | Bangladesh | 164 million people
Africa | Nigeria | 158 million people
Europe | Russia | 140 million people
Asia | Japan | 127 million people
NA | Mexico | 111 million people
Asia | Philippines | 93.6 million people
Asia | Vietnam | 89 million people
Africa | Ethiopia | 85 million people
Africa | Egypt | 84.5 million people
Europe | Germany | 82.1 million people
Asia | Turkey | 75.7 million people
Asia | Iran | 75.1 million people
Asia | Thailand | 68.1 million people
Africa | Democratic Republic of the Congo | 67.8 million people
Europe | France | 64.8 million people
Europe | United Kingdom | 61.9 million people
Europe | Italy | 60.1 million people
Asia | Myanmar | 50.5 million people
Africa | South Africa | 50.5 million people
Asia | South Korea | 48.5 million people
SA | Colombia | 46.3 million people
Europe | Ukraine | 45.4 million people
Europe | Spain | 45.3 million people
Africa | Tanzania | 45 million people
Africa | Sudan | 43.2 million people
Africa | Kenya | 40.9 million people
SA | Argentina | 40.7 million people
Europe | Poland | 38 million people
Africa | Algeria | 35.4 million people
NA | Canada | 33.9 million people
Africa | Uganda | 33.8 million people
Africa | Morocco | 32.4 million people
Asia | Iraq | 31.5 million people
Asia | Nepal | 29.9 million people
SA | Peru | 29.5 million people
Asia | Afghanistan | 29.1 million people
SA | Venezuela | 29 million people
Asia | Malaysia | 27.9 million people
Asia | Uzbekistan | 27.8 million people
Asia | Saudi Arabia | 26.2 million people
Africa | Ghana | 24.3 million people
Asia | Yemen | 24.3 million people
Asia | North Korea | 24 million people
Africa | Mozambique | 23.4 million people
Asia | Taiwan | 23 million people
Asia | Syria | 22.5 million people
Africa | Ivory Coast | 21.6 million people
Oceania | Australia | 21.5 million people
Europe | Romania | 21.2 million people
Asia | Sri Lanka | 20.4 million people
Africa | Madagascar | 20.1 million people
Africa | Cameroon | 20 million people
Africa | Angola | 19 million people
SA | Chile | 17.1 million people
Europe | Netherlands | 16.7 million people
Africa | Burkina Faso | 16.3 million people
Africa | Niger | 15.9 million people
Asia | Kazakhstan | 15.8 million people
Africa | Malawi | 15.7 million people
Asia | Cambodia | 15.1 million people
NA | Guatemala | 14.4 million people
SA | Ecuador | 13.8 million people
Africa | Mali | 13.3 million people
Africa | Zambia | 13.3 million people
Africa | Senegal | 12.9 million people
Africa | Zimbabwe | 12.6 million people
Africa | Chad | 11.5 million people
NA | Cuba | 11.2 million people
Europe | Greece | 11.2 million people
Europe | Portugal | 10.7 million people
Europe | Belgium | 10.7 million people
Europe | Czech Republic | 10.4 million people
Africa | Tunisia | 10.4 million people
Africa | Guinea | 10.3 million people
Africa | Rwanda | 10.3 million people
NA | Dominican Republic | 10.2 million people
NA | Haiti | 10.2 million people
SA | Bolivia | 10 million people
Europe | Hungary | 9.97 million people
Europe | Belarus | 9.59 million people
Africa | Somalia | 9.36 million people
Europe | Sweden | 9.29 million people
Africa | Benin | 9.21 million people
Asia | Azerbaijan | 8.93 million people
Africa | Burundi | 8.52 million people
Europe | Austria | 8.39 million people
Africa | South Sudan | 8.26 million people
NA | Honduras | 7.62 million people
Europe | Switzerland | 7.6 million people
Europe | Bulgaria | 7.5 million people
Europe | Serbia | 7.34 million people
Asia | Israel | 7.28 million people
Asia | Tajikistan | 7.07 million people
Asia | Hong Kong | 7.07 million people
Oceania | Papua New Guinea | 6.89 million people
Africa | Togo | 6.78 million people
Africa | Libya | 6.55 million people
Asia | Jordan | 6.47 million people
SA | Paraguay | 6.46 million people
Asia | Laos | 6.44 million people
NA | El Salvador | 6.19 million people
Africa | Sierra Leone | 5.84 million people
NA | Nicaragua | 5.82 million people
Asia | Kyrgyzstan | 5.55 million people
Europe | Denmark | 5.48 million people
Europe | Slovakia | 5.41 million people
Europe | Finland | 5.35 million people
Africa | Eritrea | 5.22 million people
Asia | Turkmenistan | 5.18 million people
Europe | Norway | 4.86 million people
Asia | Singapore | 4.84 million people
Asia | United Arab Emirates | 4.71 million people
NA | Costa Rica | 4.64 million people
Europe | Ireland | 4.59 million people
Africa | Central African Republic | 4.51 million people
Europe | Croatia | 4.41 million people
Asia | Palestine | 4.41 million people
Europe | New Zealand | 4.3 million people
Asia | Lebanon | 4.26 million people
Asia | Georgia | 4.22 million people
Africa | Liberia | 4.1 million people
NA | Puerto Rico | 4 million people
Europe | Bosnia and Herzegovina | 3.76 million people
Africa | Republic of the Congo | 3.76 million people
Europe | Moldova | 3.58 million people
